date,sleep_start,deep_latency_raw,deep_latency_filtered,deep_total_min,deep_episodes_total,deep_episodes_noise,noise_min_total,latency_delta
2024-12-07,2024-12-07 23:53,36.0,36.0,170,34,23,59.0,0.0
2024-12-08,2024-12-08 22:25,31.0,31.0,157,17,5,15.0,0.0
2024-12-09,2024-12-09 23:35,41.0,41.0,106,11,1,3.0,0.0
2024-12-10,2024-12-10 22:17,41.0,41.0,138,9,0,0.0,0.0
2024-12-11,2024-12-11 23:30,46.0,46.0,126,9,1,3.0,0.0
2024-12-13,2024-12-13 00:17,0.0,0.0,136,7,0,0.0,0.0
2024-12-14,2024-12-14 00:35,30.0,35.0,294,91,73,155.0,5.0
2024-12-15,2024-12-15 03:28,15.0,15.0,93,5,0,0.0,0.0
2024-12-15,2024-12-15 23:35,67.0,67.0,172,8,1,4.0,0.0
2024-12-17,2024-12-17 00:15,65.0,65.0,107,6,0,0.0,0.0
2024-12-17,2024-12-17 23:38,17.0,17.0,125,8,1,3.0,0.0
2024-12-18,2024-12-18 23:58,12.0,29.0,145,19,11,31.0,17.0
2024-12-19,2024-12-19 23:54,48.0,48.0,115,19,8,19.0,0.0
2024-12-21,2024-12-21 00:37,24.0,50.0,131,19,9,22.0,26.0
2024-12-21,2024-12-21 22:39,20.0,20.0,186,14,0,0.0,0.0
2024-12-22,2024-12-22 23:44,49.0,49.0,113,8,0,0.0,0.0
2024-12-23,2024-12-23 23:14,47.0,47.0,150,5,0,0.0,0.0
2024-12-24,2024-12-24 21:46,17.0,17.0,175,13,1,3.0,0.0
2024-12-26,2024-12-26 01:01,37.0,39.0,128,16,6,15.0,2.0
2024-12-26,2024-12-26 11:45,171.0,241.0,67,4,1,4.0,70.0
2024-12-27,2024-12-27 01:28,16.0,16.0,87,8,0,0.0,0.0
2024-12-28,2024-12-28 01:49,17.0,25.0,138,16,7,21.0,8.0
2024-12-29,2024-12-29 00:32,22.0,46.0,138,16,7,20.0,24.0
2024-12-29,2024-12-29 23:58,18.0,18.0,108,10,0,0.0,0.0
2024-12-30,2024-12-30 23:31,77.0,77.0,159,11,0,0.0,0.0
2024-12-31,2024-12-31 23:44,41.0,51.0,162,24,10,22.0,10.0
2025-01-02,2025-01-02 01:01,24.0,26.0,219,49,34,77.0,2.0
2025-01-03,2025-01-03 01:46,21.0,21.0,113,8,1,3.0,0.0
2025-01-04,2025-01-04 02:15,11.0,16.0,115,16,6,16.0,5.0
2025-01-05,2025-01-05 02:43,46.0,46.0,146,14,2,5.0,0.0
2025-01-06,2025-01-06 02:33,6.0,10.0,144,18,7,18.0,4.0
2025-01-07,2025-01-07 00:40,33.0,33.0,130,5,0,0.0,0.0
2025-01-08,2025-01-08 00:41,29.0,29.0,103,8,0,0.0,0.0
2025-01-08,2025-01-08 23:41,39.0,39.0,115,8,1,3.0,0.0
2025-01-10,2025-01-10 00:40,19.0,49.0,133,23,13,40.0,30.0
2025-01-11,2025-01-11 01:48,39.0,39.0,112,9,0,0.0,0.0
2025-01-12,2025-01-12 02:09,4.0,4.0,122,8,0,0.0,0.0
2025-01-12,2025-01-12 23:45,39.0,39.0,133,10,1,4.0,0.0
2025-01-14,2025-01-14 00:26,47.0,47.0,87,6,0,0.0,0.0
2025-01-15,2025-01-15 00:12,26.0,26.0,98,5,0,0.0,0.0
2025-01-16,2025-01-16 02:45,25.0,25.0,88,4,0,0.0,0.0
2025-01-17,2025-01-17 01:30,46.0,46.0,94,8,0,0.0,0.0
2025-01-18,2025-01-18 01:39,16.0,16.0,129,7,0,0.0,0.0
2025-01-19,2025-01-19 02:59,27.0,27.0,120,8,1,4.0,0.0
2025-01-19,2025-01-19 20:51,45.0,45.0,170,9,0,0.0,0.0
2025-01-20,2025-01-20 23:34,0.0,38.0,137,16,9,27.0,38.0
2025-01-22,2025-01-22 01:34,45.0,45.0,99,6,0,0.0,0.0
2025-01-23,2025-01-23 00:52,14.0,14.0,129,7,0,0.0,0.0
2025-01-24,2025-01-24 01:21,33.0,33.0,95,5,0,0.0,0.0
2025-01-24,2025-01-24 22:59,96.0,96.0,131,11,1,3.0,0.0
2025-01-25,2025-01-25 22:02,14.0,30.0,170,28,14,43.0,16.0
2025-01-27,2025-01-27 00:49,54.0,54.0,114,5,0,0.0,0.0
2025-01-28,2025-01-28 00:37,65.0,65.0,114,5,0,0.0,0.0
2025-01-28,2025-01-28 12:42,79.0,79.0,80,4,0,0.0,0.0
2025-01-29,2025-01-29 01:56,74.0,74.0,84,6,0,0.0,0.0
2025-01-30,2025-01-30 00:38,18.0,35.0,113,6,1,4.0,17.0
2025-01-30,2025-01-30 20:19,33.0,33.0,204,21,7,20.0,0.0
2025-02-01,2025-02-01 00:09,0.0,0.0,159,7,0,0.0,0.0
2025-02-02,2025-02-02 01:05,41.0,41.0,110,8,0,0.0,0.0
2025-02-04,2025-02-04 00:31,31.0,31.0,106,7,0,0.0,0.0
2025-02-05,2025-02-05 00:01,37.0,37.0,149,5,0,0.0,0.0
2026-03-12,2026-03-12 23:33,49.0,49.0,106,4,0,0.0,0.0
2026-03-13,2026-03-13 22:21,57.0,57.0,125,8,0,0.0,0.0
2026-03-14,2026-03-14 20:18,50.0,50.0,206,9,0,0.0,0.0
2026-03-16,2026-03-16 00:05,19.0,19.0,106,4,0,0.0,0.0
2026-03-16,2026-03-16 22:45,16.0,16.0,128,9,0,0.0,0.0
2026-03-18,2026-03-18 00:13,43.0,43.0,86,4,0,0.0,0.0
2026-03-18,2026-03-18 22:45,15.0,15.0,144,7,0,0.0,0.0
2026-03-20,2026-03-20 00:42,22.0,22.0,116,6,0,0.0,0.0
2026-03-20,2026-03-20 12:56,50.0,50.0,65,4,0,0.0,0.0
2026-03-20,2026-03-20 20:30,34.0,102.0,135,9,1,4.0,68.0
2026-03-22,2026-03-22 00:01,45.0,45.0,126,10,1,2.0,0.0
2026-03-22,2026-03-22 23:22,51.0,51.0,119,6,0,0.0,0.0
2026-03-23,2026-03-23 23:15,42.0,42.0,137,8,1,4.0,0.0
2026-03-25,2026-03-25 00:14,59.0,59.0,96,3,0,0.0,0.0
2026-03-26,2026-03-26 00:31,27.0,27.0,114,6,0,0.0,0.0
2026-03-27,2026-03-27 00:06,70.0,70.0,124,6,1,3.0,0.0
2026-03-28,2026-03-28 00:56,35.0,35.0,112,5,0,0.0,0.0
2026-03-28,2026-03-28 22:51,45.0,48.0,138,21,11,31.0,3.0
