lag,param,r,p_pointbiserial,p_mannwhitney,p_min,median_no_seizure,median_seizure,n_no_seizure,n_seizure,significant,trend
same,n_plateaus,0.165,0.1247,0.3825,0.1247,11.0,12.0,71,17,False,True
same,max_depth,0.053,0.6263,0.8566,0.6263,4.0,4.0,71,17,False,False
same,base_level,-0.148,0.1684,0.069,0.069,54.1,52.5,71,17,False,True
same,total_range,-0.026,0.809,0.1566,0.1566,13.8,11.5,71,17,False,False
same,dur_cv,0.111,0.3048,0.2978,0.2978,0.633,0.671,71,17,False,False
same,count_cv,0.118,0.2747,0.2261,0.2261,0.525,0.616,71,17,False,False
same,break_frac,-0.0,0.9978,0.9536,0.9536,0.583,0.545,71,17,False,False
same,spacing_cv,0.081,0.4531,0.2905,0.2905,0.715,0.786,71,17,False,False
same,stack_symmetry,-0.132,0.2198,0.0544,0.0544,0.311,0.253,71,17,False,True
same,intra_dur_cv,-0.082,0.4452,0.3415,0.3415,0.827,0.718,71,17,False,False
same,frac_high,-0.136,0.2077,0.0493,0.0493,1.024,0.586,71,17,True,True
same,frac_vhigh,-0.076,0.4826,0.0793,0.0793,0.538,0.321,71,17,False,True
same,n_d3,0.1,0.3532,0.9489,0.3532,4.0,4.0,71,17,False,False
same,n_phases,0.242,0.0233,0.1415,0.0233,22.0,23.0,71,17,True,True
same,mean_phase_dur,-0.039,0.7183,0.7793,0.7183,18.9,19.0,71,17,False,False
same,phase_dur_cv,-0.096,0.3736,0.3469,0.3469,0.433,0.408,71,17,False,False
same,mean_phase_std,-0.015,0.8932,0.9747,0.8932,3.6,3.52,71,17,False,False
same,std_ratio_2nd_1st,-0.025,0.8147,0.7713,0.7713,1.075,1.075,71,17,False,False
same,dur_ratio_2nd_1st,-0.08,0.4595,0.6918,0.4595,0.975,0.973,71,17,False,False
same,n_nadirs,0.242,0.0233,0.1415,0.0233,21.0,22.0,71,17,True,True
same,nadir_mean,-0.172,0.1101,0.107,0.107,61.4,60.2,71,17,False,True
same,nadir_std,-0.063,0.5608,0.1646,0.1646,3.91,3.19,71,17,False,False
same,nadir_range,-0.037,0.7346,0.1582,0.1582,14.1,11.7,71,17,False,False
same,nadir_slope,0.242,0.023,0.0393,0.023,-0.427,-0.238,71,17,True,True
next1,n_plateaus,-0.042,0.6969,0.9522,0.6969,11.0,12.0,72,16,False,False
next1,max_depth,-0.011,0.9226,0.9152,0.9152,4.0,4.0,72,16,False,False
next1,base_level,-0.056,0.6028,0.6073,0.6028,54.05,53.75,72,16,False,False
next1,total_range,-0.056,0.6011,0.5162,0.5162,13.5,12.5,72,16,False,False
next1,dur_cv,0.007,0.9484,0.9439,0.9439,0.64,0.633,72,16,False,False
next1,count_cv,0.081,0.4551,0.4296,0.4296,0.532,0.575,72,16,False,False
next1,break_frac,-0.104,0.3357,0.3404,0.3357,0.583,0.542,72,16,False,False
next1,spacing_cv,-0.111,0.3017,0.2277,0.2277,0.726,0.687,72,16,False,False
next1,stack_symmetry,-0.085,0.4286,0.681,0.4286,0.289,0.308,72,16,False,False
next1,intra_dur_cv,-0.167,0.1205,0.0915,0.0915,0.81,0.656,72,16,False,True
next1,frac_high,-0.04,0.7102,0.713,0.7102,0.986,0.91,72,16,False,False
next1,frac_vhigh,-0.024,0.8262,0.7578,0.7578,0.478,0.422,72,16,False,False
next1,n_d3,-0.041,0.7023,0.9303,0.7023,4.0,4.0,72,16,False,False
next1,n_phases,0.01,0.9279,0.7403,0.7403,22.0,23.0,72,16,False,False
next1,mean_phase_dur,-0.026,0.8094,0.987,0.8094,18.9,18.85,72,16,False,False
next1,phase_dur_cv,-0.021,0.8452,0.9612,0.8452,0.423,0.425,72,16,False,False
next1,mean_phase_std,-0.112,0.2998,0.3356,0.2998,3.605,3.44,72,16,False,False
next1,std_ratio_2nd_1st,0.112,0.2991,0.1369,0.1369,1.058,1.14,72,16,False,True
next1,dur_ratio_2nd_1st,0.145,0.1792,0.1245,0.1245,0.957,1.055,72,16,False,True
next1,n_nadirs,0.01,0.9279,0.7403,0.7403,21.0,22.0,72,16,False,False
next1,nadir_mean,-0.064,0.5564,0.541,0.541,61.45,60.35,72,16,False,False
next1,nadir_std,-0.072,0.5035,0.6613,0.5035,3.71,3.95,72,16,False,False
next1,nadir_range,-0.067,0.5325,0.5092,0.5092,13.65,13.05,72,16,False,False
next1,nadir_slope,0.082,0.4483,0.596,0.4483,-0.327,-0.426,72,16,False,False
next2,n_plateaus,-0.156,0.1474,0.2615,0.1474,12.0,11.0,72,16,False,True
next2,max_depth,-0.08,0.4595,0.6101,0.4595,4.0,4.0,72,16,False,False
next2,base_level,-0.023,0.8298,0.8924,0.8298,54.0,54.25,72,16,False,False
next2,total_range,-0.099,0.361,0.6149,0.361,13.2,13.65,72,16,False,False
next2,dur_cv,0.101,0.3493,0.4752,0.3493,0.636,0.654,72,16,False,False
next2,count_cv,-0.045,0.6761,0.9612,0.6761,0.532,0.568,72,16,False,False
next2,break_frac,-0.221,0.0385,0.037,0.037,0.583,0.522,72,16,True,True
next2,spacing_cv,-0.213,0.0458,0.0806,0.0458,0.729,0.678,72,16,True,True
next2,stack_symmetry,0.007,0.946,0.7661,0.7661,0.296,0.301,72,16,False,False
next2,intra_dur_cv,-0.152,0.1583,0.1441,0.1441,0.784,0.73,72,16,False,True
next2,frac_high,-0.13,0.2259,0.2866,0.2259,1.007,0.74,72,16,False,False
next2,frac_vhigh,-0.083,0.4417,0.4521,0.4417,0.484,0.33,72,16,False,False
next2,n_d3,-0.146,0.1741,0.217,0.1741,4.0,3.0,72,16,False,False
next2,n_phases,-0.115,0.2865,0.497,0.2865,22.5,22.0,72,16,False,False
next2,mean_phase_dur,0.091,0.3969,0.5057,0.3969,18.8,19.3,72,16,False,False
next2,phase_dur_cv,-0.18,0.0926,0.0854,0.0854,0.434,0.386,72,16,False,True
next2,mean_phase_std,-0.003,0.9762,0.9095,0.9095,3.57,3.595,72,16,False,False
next2,std_ratio_2nd_1st,-0.151,0.1612,0.1193,0.1193,1.081,1.018,72,16,False,True
next2,dur_ratio_2nd_1st,-0.045,0.6793,0.6495,0.6495,0.974,0.962,72,16,False,False
next2,n_nadirs,-0.115,0.2865,0.497,0.2865,21.5,21.0,72,16,False,False
next2,nadir_mean,-0.095,0.3776,0.4109,0.3776,61.4,60.0,72,16,False,False
next2,nadir_std,-0.04,0.7146,0.9482,0.7146,3.79,3.62,72,16,False,False
next2,nadir_range,-0.084,0.4346,0.6534,0.4346,13.5,13.8,72,16,False,False
next2,nadir_slope,0.006,0.9563,0.9267,0.9267,-0.351,-0.412,72,16,False,False
prev1,n_plateaus,0.112,0.297,0.6997,0.297,11.0,12.0,70,18,False,False
prev1,max_depth,0.047,0.6655,0.6221,0.6221,4.0,4.0,70,18,False,False
prev1,base_level,0.067,0.5323,0.8361,0.5323,54.05,53.75,70,18,False,False
prev1,total_range,0.085,0.4308,0.9464,0.4308,13.35,12.8,70,18,False,False
prev1,dur_cv,0.016,0.8802,0.9423,0.8802,0.64,0.64,70,18,False,False
prev1,count_cv,-0.083,0.4442,0.3791,0.3791,0.549,0.528,70,18,False,False
prev1,break_frac,-0.112,0.2994,0.3101,0.2994,0.583,0.522,70,18,False,False
prev1,spacing_cv,-0.017,0.8733,0.9959,0.8733,0.726,0.716,70,18,False,False
prev1,stack_symmetry,-0.032,0.7701,0.605,0.605,0.3,0.281,70,18,False,False
prev1,intra_dur_cv,0.076,0.483,0.528,0.483,0.773,0.806,70,18,False,False
prev1,frac_high,0.017,0.8723,0.7445,0.7445,0.967,0.881,70,18,False,False
prev1,frac_vhigh,0.009,0.931,0.824,0.824,0.47,0.483,70,18,False,False
prev1,n_d3,0.119,0.2714,0.562,0.2714,4.0,4.5,70,18,False,False
prev1,n_phases,0.117,0.2782,0.5228,0.2782,22.0,23.0,70,18,False,False
prev1,mean_phase_dur,0.076,0.4842,0.368,0.368,18.75,19.25,70,18,False,False
prev1,phase_dur_cv,0.165,0.1242,0.2164,0.1242,0.418,0.454,70,18,False,True
prev1,mean_phase_std,-0.014,0.8952,0.5658,0.5658,3.625,3.435,70,18,False,False
prev1,std_ratio_2nd_1st,0.141,0.1896,0.5079,0.1896,1.069,1.09,70,18,False,False
prev1,dur_ratio_2nd_1st,-0.016,0.8855,0.8808,0.8808,0.976,0.962,70,18,False,False
prev1,n_nadirs,0.117,0.2782,0.5228,0.2782,21.0,22.0,70,18,False,False
prev1,nadir_mean,0.075,0.4852,0.7445,0.4852,61.3,61.8,70,18,False,False
prev1,nadir_std,0.086,0.4261,0.7524,0.4261,3.79,3.555,70,18,False,False
prev1,nadir_range,0.104,0.3366,0.9381,0.3366,13.65,13.5,70,18,False,False
prev1,nadir_slope,0.142,0.1874,0.1787,0.1787,-0.426,-0.274,70,18,False,False
